studno,description,action,datefiled,dateresolved
2004-75896,vitae nisl aenean lectus pellentesque eget nunc,laoreet,1994-07-25,1998-10-06
2013-68915,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,libero,1994-10-16,1999-10-05
1999-69351,amet lobortis sapien sapien non mi,ante,1997-06-19,1992-11-30
1997-40725,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,rutrum,1999-11-03,1994-03-24
2013-44979,lectus pellentesque at nulla suspendisse,montes,1998-03-09,2000-08-28
2014-48952,cum sociis natoque penatibus et,at,1993-01-17,1998-03-22
1999-83456,duis ac nibh fusce lacus purus,mauris,1996-04-01,2000-11-06
2015-99248,cursus vestibulum proin eu mi nulla ac enim in tempor,integer,1997-06-08,1991-12-05
2014-77181,cursus id turpis integer aliquet massa,morbi,1999-07-22,1994-03-01
2005-75050,velit vivamus vel nulla eget,pharetra,1992-04-16,1991-07-13
1998-82059,scelerisque quam turpis adipiscing lorem vitae mattis nibh,pharetra,1999-05-20,2000-05-07
2018-05018,ac lobortis vel dapibus at diam nam tristique,lectus,1995-02-09,1996-01-27
2015-06774,massa id nisl venenatis lacinia aenean sit amet justo morbi,aenean,1995-08-04,1997-09-14
2002-33418,id consequat in consequat ut nulla,a,1992-12-04,1997-01-09
2007-62042,rutrum at lorem integer tincidunt ante vel ipsum,laoreet,1990-07-07,1995-08-29
2018-06479,nulla elit ac nulla sed,volutpat,1993-06-09,1996-04-03
2013-84740,sed sagittis nam congue risus semper porta,feugiat,1995-11-19,1992-02-25
2014-95109,tempus vel pede morbi porttitor lorem id ligula suspendisse,platea,1996-12-14,1999-12-29
1993-14163,volutpat sapien arcu sed augue aliquam,quisque,1993-09-02,1999-08-04
1999-24281,dapibus dolor vel est donec odio justo sollicitudin ut,maecenas,1997-02-17,1993-11-26
1990-06996,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,urna,1995-08-21,1998-10-23
2015-04504,sem duis aliquam convallis nunc proin at turpis a,quis,1990-12-25,1990-05-13
2018-40012,in lacus curabitur at ipsum ac tellus semper,risus,2000-04-08,1996-05-29
2019-89189,in imperdiet et commodo vulputate justo in blandit ultrices,aliquam,1997-08-07,1997-03-16
2000-49725,vel augue vestibulum ante ipsum,purus,1997-11-23,1992-03-19
1999-14198,rutrum nulla nunc purus phasellus,amet,1996-11-19,1990-11-20
2016-61510,proin at turpis a pede,nisi,1990-02-08,1994-06-20
2018-62483,condimentum id luctus nec molestie sed justo pellentesque,primis,1992-07-20,1993-10-30
1998-44136,massa quis augue luctus tincidunt,lacus,1998-12-10,2000-02-06
2002-14824,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,odio,1995-06-08,1993-09-02
2015-03993,praesent blandit nam nulla integer pede justo,porttitor,1997-05-26,1997-11-08
2000-64535,sapien a libero nam dui proin leo odio porttitor id,luctus,1996-07-14,1990-03-30
2000-28987,mauris lacinia sapien quis libero nullam sit amet turpis elementum,consequat,1996-12-08,1998-09-30
2006-02865,sapien placerat ante nulla justo aliquam,erat,1994-02-15,1996-03-31
2007-31772,velit vivamus vel nulla eget eros elementum pellentesque quisque,massa,1999-06-19,1993-07-18
2019-51378,suspendisse potenti nullam porttitor lacus,congue,1996-09-20,1998-02-27
2000-45051,sed tincidunt eu felis fusce posuere felis sed lacus,turpis,1991-07-02,2000-06-13
2010-53774,morbi odio odio elementum eu interdum,cubilia,1997-01-11,1996-07-18
2013-70424,ligula in lacus curabitur at,luctus,1997-05-16,1995-02-23
2018-69344,mi sit amet lobortis sapien sapien,dolor,1991-03-09,1999-09-08
2009-36957,enim leo rhoncus sed vestibulum sit amet cursus,consequat,1995-11-21,1998-06-27
2017-19735,ridiculus mus etiam vel augue vestibulum rutrum,mattis,1990-04-21,1993-11-27
1996-83468,pellentesque at nulla suspendisse potenti cras in purus eu,sodales,1998-11-23,1993-04-12
2007-68863,quis orci nullam molestie nibh in lectus pellentesque,eros,1996-06-14,1998-08-26
2014-39336,in leo maecenas pulvinar lobortis est phasellus,et,1997-04-29,1990-07-06
1997-45999,odio elementum eu interdum eu tincidunt in leo,interdum,1992-07-28,1999-06-03
2012-25170,erat quisque erat eros viverra eget congue eget semper rutrum,aenean,1993-07-14,1999-09-20
2001-84697,mi nulla ac enim in tempor turpis nec euismod scelerisque,ac,2000-11-20,2000-05-12
2015-41033,in est risus auctor sed tristique in tempus sit amet,in,1997-08-05,1990-02-13
1999-59793,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,tortor,1992-09-24,1997-09-03
1992-00562,curae nulla dapibus dolor vel est donec odio justo,adipiscing,1992-09-27,1990-10-25
2016-52461,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,nonummy,1999-01-02,1998-03-22
2016-80463,phasellus in felis donec semper sapien a libero nam dui,tincidunt,1998-05-27,1999-11-03
2000-04686,eget congue eget semper rutrum nulla nunc purus phasellus,eget,1995-04-16,1991-06-20
2001-30113,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,lacinia,1998-05-02,1990-04-08
2016-86991,donec quis orci eget orci vehicula condimentum,sed,1995-02-09,1995-07-02
2012-90539,ligula suspendisse ornare consequat lectus in est risus auctor,augue,1999-07-31,1999-07-20
1993-84125,magna ac consequat metus sapien ut nunc,luctus,1998-12-21,1996-07-24
2004-36793,a odio in hac habitasse platea,mauris,1991-12-02,2000-11-12
2012-91936,velit eu est congue elementum in,rutrum,1990-10-13,1993-08-11
2011-56078,velit eu est congue elementum in hac habitasse platea,eu,1990-10-08,1991-08-11
2013-20299,diam cras pellentesque volutpat dui maecenas tristique est et,hac,1996-08-24,1997-09-05
2018-92562,at nulla suspendisse potenti cras in purus eu magna,scelerisque,1999-09-03,1994-11-15
2001-83272,nulla sed accumsan felis ut at dolor,aliquet,1996-01-13,1997-01-02
2010-76744,duis aliquam convallis nunc proin at turpis a pede posuere,in,1992-09-24,1999-09-25
2017-27948,nullam orci pede venenatis non sodales,urna,2000-06-12,1998-08-22
2016-11088,molestie sed justo pellentesque viverra pede ac diam,aenean,1997-10-11,1995-09-25
2012-23102,sit amet cursus id turpis integer aliquet massa id lobortis,vivamus,1993-05-16,1996-05-19
2014-88960,morbi vestibulum velit id pretium,ut,1998-11-26,1997-01-20
1994-70006,nulla suspendisse potenti cras in purus eu magna vulputate luctus,mi,1996-04-16,1990-08-15
1990-51170,in lacus curabitur at ipsum,et,1994-01-30,1996-12-18
1998-29235,pede justo eu massa donec dapibus duis at velit,laoreet,1990-06-29,1992-04-06
1995-96020,eu nibh quisque id justo sit amet sapien dignissim,aliquam,1994-01-02,1995-01-25
1991-98710,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,eu,1996-01-26,1991-12-28
2006-25003,massa id lobortis convallis tortor risus dapibus augue vel,felis,1991-02-01,1998-12-27
2016-21671,varius integer ac leo pellentesque ultrices mattis odio donec vitae,consequat,1999-09-20,1995-12-04
2004-12065,sollicitudin mi sit amet lobortis sapien sapien non mi integer,orci,1995-08-23,1998-11-21
2019-94291,a ipsum integer a nibh in quis,platea,1993-12-23,1991-09-28
2012-03021,tortor id nulla ultrices aliquet maecenas leo odio,luctus,1991-08-07,1996-02-25
2018-21243,felis sed interdum venenatis turpis enim blandit,bibendum,1990-09-08,1994-12-09
1993-23926,orci eget orci vehicula condimentum curabitur in libero,eu,1992-08-24,1994-06-05
2019-15938,nisl nunc rhoncus dui vel sem sed,sit,1999-04-06,1990-12-10
2008-74096,nibh ligula nec sem duis aliquam convallis nunc,consectetuer,1991-01-25,1991-05-18
2010-08331,orci mauris lacinia sapien quis libero nullam,leo,1998-10-05,1997-12-16
2006-34510,pharetra magna ac consequat metus sapien ut nunc,duis,1998-05-05,1992-10-17
2015-28096,vestibulum quam sapien varius ut blandit non interdum,velit,1992-08-24,1999-11-20
2001-48729,dapibus dolor vel est donec odio,erat,1990-02-26,1993-03-21
1990-55819,duis aliquam convallis nunc proin at turpis,id,1995-06-30,1990-04-07
2011-88176,nullam porttitor lacus at turpis donec posuere,ac,1990-02-12,1993-07-28
2016-00463,aliquet pulvinar sed nisl nunc rhoncus dui vel sem,tincidunt,1994-04-27,1991-01-26
2010-18101,lectus pellentesque at nulla suspendisse potenti cras in purus eu,dapibus,1998-01-07,2000-10-17
2004-03143,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,vehicula,1990-08-15,2000-03-07
2013-04830,fermentum justo nec condimentum neque sapien placerat,at,1992-05-25,1998-05-25
2016-25716,aenean auctor gravida sem praesent id massa id nisl venenatis,donec,1995-05-06,1999-01-06
2014-87403,nonummy maecenas tincidunt lacus at velit vivamus vel nulla,pede,1999-01-17,2000-03-04
2011-23215,tempor turpis nec euismod scelerisque quam turpis adipiscing,a,1990-06-03,2000-06-03
2009-12353,et ultrices posuere cubilia curae duis faucibus accumsan,duis,1997-06-29,1996-03-28
2012-36068,nulla tellus in sagittis dui vel,pulvinar,1995-01-12,1996-11-10
2018-72686,primis in faucibus orci luctus et ultrices posuere cubilia curae,turpis,1999-02-19,1997-03-11
2018-27788,aliquam quis turpis eget elit sodales scelerisque mauris sit,pellentesque,1997-08-05,1996-11-03
2006-66880,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,volutpat,1998-07-03,1998-03-28
2016-28292,fermentum justo nec condimentum neque,purus,1991-11-06,1991-03-25
2002-94739,id nisl venenatis lacinia aenean sit amet justo,cubilia,1997-06-25,1999-10-27
1999-44945,in tempus sit amet sem fusce consequat,maecenas,1993-11-23,1995-02-27
2010-11130,mi sit amet lobortis sapien sapien non,luctus,1995-07-25,1997-01-31
2009-78814,ipsum dolor sit amet consectetuer,odio,1999-11-19,1992-06-02
2013-02893,hac habitasse platea dictumst morbi,neque,1995-03-17,1995-08-17
2015-31794,nullam orci pede venenatis non sodales sed tincidunt,risus,1996-07-17,1995-01-12
2011-78142,eget orci vehicula condimentum curabitur in libero ut,integer,1991-08-28,1992-08-27
1996-62362,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,ligula,1996-07-01,1994-07-03
2016-33034,fusce posuere felis sed lacus morbi sem mauris laoreet,amet,1999-12-06,2000-10-23
2016-87640,vestibulum rutrum rutrum neque aenean auctor,integer,1999-01-01,1997-01-08
1999-35206,luctus cum sociis natoque penatibus,at,1993-05-17,1990-02-27
2005-42709,quis tortor id nulla ultrices aliquet maecenas,dolor,2000-02-13,1994-08-02
1998-94635,faucibus accumsan odio curabitur convallis,velit,2000-09-30,1992-09-06
2009-19628,in sagittis dui vel nisl duis ac nibh fusce,felis,1992-05-11,2000-01-07
2018-64879,hac habitasse platea dictumst aliquam,nisi,1998-09-22,1998-01-23
1998-28337,amet consectetuer adipiscing elit proin,volutpat,1994-01-14,1995-02-21
2011-94178,sapien arcu sed augue aliquam erat volutpat in,aliquet,1991-10-10,1992-06-24
2002-04741,congue diam id ornare imperdiet sapien urna pretium,suspendisse,1997-06-28,1994-11-11
1997-09447,condimentum curabitur in libero ut massa,et,2000-11-08,1991-06-11
1994-60142,in sagittis dui vel nisl duis ac nibh fusce,donec,1993-01-20,1992-03-10
2016-90566,elementum ligula vehicula consequat morbi a ipsum,justo,1997-05-27,1990-01-06
1993-46607,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,blandit,1995-09-21,1999-06-13
2017-26106,duis mattis egestas metus aenean fermentum donec ut mauris,eu,1995-11-11,1993-06-02
2019-27636,pretium quis lectus suspendisse potenti in,est,1993-05-22,2000-01-20
2010-67631,aliquet massa id lobortis convallis tortor risus dapibus augue,nulla,1999-07-22,1996-01-31
2013-40501,potenti cras in purus eu magna,magnis,1992-04-07,1997-08-12
2010-93636,lobortis convallis tortor risus dapibus augue,adipiscing,1995-12-07,1990-01-05
2015-57696,quisque erat eros viverra eget congue,eget,1995-01-25,1990-02-19
2018-16244,sapien non mi integer ac,volutpat,1996-07-05,1999-05-01
2014-44591,nulla eget eros elementum pellentesque quisque porta,erat,1993-05-17,1992-02-16
2005-46082,ut massa quis augue luctus tincidunt,vivamus,1999-11-30,2000-02-21
1992-81978,faucibus orci luctus et ultrices posuere cubilia curae mauris,mus,1997-03-03,1994-09-13
2011-28096,vulputate ut ultrices vel augue vestibulum,sit,1990-11-03,1996-06-24
2015-59648,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,lectus,2000-04-22,2000-06-03
2016-69901,et tempus semper est quam pharetra magna ac,volutpat,2000-01-05,1993-09-21
2008-03034,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,praesent,1990-12-02,1995-12-06
2006-21413,ac est lacinia nisi venenatis,diam,1993-07-22,2000-03-28
2010-71490,orci mauris lacinia sapien quis libero nullam sit amet turpis,risus,1990-02-12,2000-01-26
2013-41095,ut massa quis augue luctus tincidunt nulla mollis,tellus,1993-03-06,1999-04-29
2015-92376,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,massa,1996-01-31,1999-07-14
2016-76840,urna ut tellus nulla ut,rutrum,2000-11-14,1998-01-20
1994-37815,ligula pellentesque ultrices phasellus id sapien,sapien,1994-08-21,2000-03-26
2014-70453,morbi porttitor lorem id ligula,magna,1998-10-07,1991-08-31
2016-87347,massa id lobortis convallis tortor,cubilia,1991-01-06,1994-08-12
2012-84254,ullamcorper augue a suscipit nulla elit ac nulla sed,felis,1990-03-04,1991-02-05
2006-15089,integer a nibh in quis justo maecenas,bibendum,1991-05-25,1990-01-13
2018-91826,interdum mauris non ligula pellentesque ultrices phasellus id,luctus,2000-06-02,1991-02-10
2010-35648,montes nascetur ridiculus mus vivamus,justo,2000-11-22,1999-08-12
2009-11359,in hac habitasse platea dictumst maecenas ut massa quis augue,sed,1994-08-29,2000-08-27
2009-14948,accumsan tellus nisi eu orci,morbi,1995-08-26,1992-09-09
1994-07650,rutrum at lorem integer tincidunt ante,elementum,1998-03-23,1996-03-07
1997-66359,sem fusce consequat nulla nisl nunc nisl duis bibendum,pellentesque,1998-10-27,1993-10-11
2016-72935,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,blandit,1995-09-27,1999-07-23
2007-97480,volutpat erat quisque erat eros viverra eget congue eget semper,dui,1993-02-26,2000-07-16
2010-37066,vestibulum aliquet ultrices erat tortor sollicitudin mi sit,pretium,1991-04-17,1990-09-16
2001-91301,commodo placerat praesent blandit nam nulla integer pede,integer,1992-10-23,1996-01-26
2018-55145,cras in purus eu magna vulputate luctus cum sociis natoque,ut,1990-08-07,1998-07-11
1998-62494,amet nunc viverra dapibus nulla suscipit ligula in lacus,duis,1993-01-29,1990-01-16
2001-20623,vestibulum ante ipsum primis in faucibus orci luctus et,nullam,1995-07-12,1994-06-24
2016-32519,adipiscing molestie hendrerit at vulputate,ullamcorper,1992-07-19,1999-02-13
2009-05144,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,sagittis,1994-01-06,1996-05-09
2017-63386,ut tellus nulla ut erat id,hac,1999-12-28,1991-09-22
2015-53507,convallis nunc proin at turpis a pede,etiam,1990-06-14,1999-10-31
2013-42374,aliquam non mauris morbi non lectus,interdum,1990-05-25,1999-04-10
1995-19386,sed ante vivamus tortor duis mattis egestas,erat,1994-08-17,1990-11-11
2013-49590,in hac habitasse platea dictumst morbi vestibulum,luctus,1999-11-19,1991-05-17
2007-87707,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,ultrices,1992-07-31,1993-11-22
1994-63151,nisl nunc nisl duis bibendum felis sed interdum,ac,1996-09-08,1998-06-22
1997-35240,ac lobortis vel dapibus at diam nam,iaculis,1990-03-24,1996-02-14
2013-89672,nulla ac enim in tempor,malesuada,1994-08-13,1995-07-19
2014-79864,nulla integer pede justo lacinia eget tincidunt eget tempus vel,odio,1999-05-18,1992-05-27
2000-42827,vulputate justo in blandit ultrices enim lorem,massa,1990-07-09,1996-06-06
2019-73773,sapien a libero nam dui,quisque,1990-04-03,1990-10-27
2001-98442,nulla tellus in sagittis dui vel nisl duis ac,pede,1998-01-03,1990-03-22
1999-90146,pede lobortis ligula sit amet eleifend pede libero quis,vel,1990-05-26,1993-03-16
1991-58464,dapibus duis at velit eu est congue elementum in hac,hendrerit,1991-10-09,1990-12-16
2015-69505,quam pede lobortis ligula sit amet,vestibulum,1997-04-05,1990-09-30
2001-48583,morbi porttitor lorem id ligula,molestie,1990-10-10,2000-05-08
2009-76892,pellentesque ultrices mattis odio donec vitae nisi nam ultrices,augue,1991-01-16,1998-09-09
2018-45342,donec dapibus duis at velit,vulputate,2000-09-30,1990-07-28
2005-50053,erat curabitur gravida nisi at nibh in hac,gravida,1998-01-14,1998-03-15
2014-20549,in faucibus orci luctus et ultrices posuere,rutrum,1992-03-23,1997-11-08
2010-02112,duis aliquam convallis nunc proin at turpis a pede posuere,suspendisse,1992-10-02,1993-08-17
2010-25448,venenatis tristique fusce congue diam,hac,1998-05-07,2000-07-05
1994-73841,porttitor id consequat in consequat ut nulla,morbi,1992-01-04,1995-11-07
1993-30130,duis bibendum morbi non quam nec dui luctus,odio,1996-09-05,1992-05-06
2015-48412,congue diam id ornare imperdiet,ac,1991-06-16,1992-03-27
2007-07426,primis in faucibus orci luctus et,dis,1994-11-05,1999-04-18
2011-65115,quis tortor id nulla ultrices aliquet maecenas leo,interdum,1997-07-03,1990-11-01
1996-27054,primis in faucibus orci luctus,consequat,1996-11-23,1991-10-14
2010-86761,posuere metus vitae ipsum aliquam non mauris morbi non,velit,1999-04-17,1991-09-11
1996-24666,praesent blandit lacinia erat vestibulum sed,ligula,1994-04-11,1998-11-27
2015-14491,curae donec pharetra magna vestibulum aliquet ultrices erat tortor,lectus,1990-08-12,1990-08-06
2019-01427,commodo vulputate justo in blandit,id,1993-11-27,1996-02-20
2015-41523,ultrices aliquet maecenas leo odio condimentum,augue,1996-12-30,1990-10-17
2013-78690,orci luctus et ultrices posuere cubilia curae donec pharetra magna,viverra,1990-12-12,1991-02-28
2015-91824,velit eu est congue elementum in hac,ligula,1998-03-02,1994-10-30
2019-63590,pretium iaculis justo in hac habitasse platea dictumst,ipsum,1995-11-24,1999-06-21
1995-99192,id nisl venenatis lacinia aenean sit amet justo,mauris,2000-07-28,1991-05-23
1995-37271,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,turpis,1992-03-03,1998-08-22
2016-72675,nulla justo aliquam quis turpis eget elit sodales,nec,1992-04-09,1995-04-22
2010-01810,justo aliquam quis turpis eget elit sodales scelerisque mauris sit,integer,1992-01-01,1997-08-08
2007-69280,etiam vel augue vestibulum rutrum rutrum neque aenean,platea,1994-04-21,1999-09-13
